lv_feeder_unique_id,avg_daily_consumption_per_device,std_daily_consumption_per_device,avg_total_consumption_daily,std_total_consumption_daily,avg_max_consumption_daily,std_max_consumption_daily,max_to_mean_ratio,std_to_mean_ratio,per_device_peak_ratio,max_to_min_ratio,weekday_weekend_ratio,mean_daily_time_at_peak,is_anomalous,anomaly_type,anomaly_intensity,anomaly_id
SSEN-461800210002,-0.29165672470707216,-0.14797002234128864,-0.741399691969411,-0.8048941330250531,-0.7820086101209135,-0.8044676155255338,0.21514088878064436,0.16824667203883126,-0.17739370517788997,0.0337200643487824,-0.5055416780858252,0.1539662425748272,1,smoothed_profile,0.05,SSEN-461800210002-smoothed_profile-0.05
SSEN-461800210003,0.6193527742643639,0.2999633409126826,1.0300246116275835,1.3129863973026743,1.0767755512653272,1.3134649128807527,-0.7286926083002303,-0.3680731321309766,0.29784748883689915,-0.4587590193525323,-0.2814275120433646,0.17639098425592184,0,,,
SSEN-461800210004,-0.15513215231164296,-0.18680585808647124,-0.5460368385980763,-0.6256470922205636,-0.6250976567352131,-0.6254871942290526,-0.40299542109102393,-0.22071606601154253,-0.23432713992388549,-0.3927194090372478,-0.3008277875498204,0.13154150089373257,1,smoothed_profile,0.05,SSEN-461800210004-smoothed_profile-0.05
SSEN-461800310001,1.1245979948300815,0.6663551424706754,-0.09932363554197991,-0.09423186430015626,-0.1116483163408208,-0.09411547441939903,-0.35630617632669753,-0.23646157814757457,0.8337399229436496,-0.19804229378077906,-0.7693844798208936,0.11688571733817843,0,,,
SSEN-461800310002,-0.14220617620231144,-0.00804319926868568,-1.0186845955343709,-1.1792632329693238,-1.149839319105556,-1.1794141294719407,0.2751737646841264,0.3147728611078044,-0.09992798116086003,0.5047297333105172,0.35663743833820327,-0.3570718579297833,1,smoothed_profile,0.05,SSEN-461800310002-smoothed_profile-0.05
SSEN-461800310003,3.4233146381490958,3.699037222862579,-0.3042461627676869,0.16027896972211053,-0.23534010757034207,0.1600313902932079,0.016012176336668835,1.1123805025729887,3.158366952816894,0.7031953460948703,-2.161593908645889,0.0012644301749906647,0,,,
SSEN-461800310004,-0.9538761073821342,-0.5818022548906994,-0.8953159293178996,-0.9747834635552248,-0.9568921579363393,-0.9744886217212035,0.5498545440208256,0.5193659932576257,-0.7360555805497107,-0.00404397284333143,-0.9383371101431904,0.11688571733817843,0,,,
SSEN-461800310005,-0.7998890026940664,-0.4811776364898064,-1.0035713984215493,-1.146520901941172,-1.0884157323210812,-1.1462121125105145,0.7465046106716896,0.3948998686115234,-0.5569887997213029,-0.254351100666368,-0.1173847873467502,-0.07705966758071572,0,,,
SSEN-461800312001,-0.655952463332837,-0.5912665646735201,0.35555477069445357,0.41516924534630756,0.30964861796996745,0.4156508039904965,-0.7864104680820506,-0.45587697832024954,-0.7295618153443748,-0.32866896740369145,0.46726801038960714,0.17656122039014735,0,,,
SSEN-461800312002,-0.9863196506145496,-0.6644022410532961,-0.49438933821264425,-0.43465899276336295,-0.5143242660684704,-0.4340811128967751,-0.1184871632435671,0.23853441422196417,-0.8724879255456522,-0.12349851869393022,-0.2924382267907183,0.15418290674565818,0,,,
